REGION,SPDES ID,SIZE,FACILITY NAME,ADDRESS,FACILITY CITY,ZIP,COUNTY,CNMP ACRES,full address,latitude,longitude
5,NYA00E489,MEDIUM,SHIPMAN FARM,193 COUNTY ROUTE 29,BURKE,12917,FRANKLIN,1160,"193 COUNTY ROUTE 29, BURKE, New York, 12917",44.931986,-74.1695491
5,NYA00E110,MEDIUM,OOMSVIEW HOLSTEINS,561 COUNTY ROUTE 38,CONSTABLE,12926,FRANKLIN,1316,"561 COUNTY ROUTE 38, CONSTABLE, New York, 12926",44.9292125,-74.2971311
5,NYA00E483,MEDIUM,STARGO DAIRY FARM,3 VINCENT ROAD,MALONE,12953,FRANKLIN,1009,"3 VINCENT ROAD, MALONE, New York, 12953",44.861771,-74.202622
,NYA00E512,MEDIUM,ADVENTURE DAIRY,21 DOG HOLLOW ROAD,BOMBAY,12914,FRANKLIN,976,"21 DOG HOLLOW ROAD, BOMBAY, New York, 12914",44.946576,-74.5472769
5,NYA00E491,MEDIUM,SUNSET LAKE FARM #2,542 EAST ROAD,BURKE,12917,FRANKLIN,284,"542 EAST ROAD, BURKE, New York, 12917",44.9591437,-74.1459978
5,NYA00E099,LARGE,BILOW FARMS,1143 COUNTY ROUTE 24,MALONE,12953,FRANKLIN,4354,"1143 COUNTY ROUTE 24, MALONE, New York, 12953",44.8590111,-74.2647434
5,NYA00E092,LARGE,TRAINER FARM,442 COUNTY RTE. 39,CHATEAUGAY,12920,FRANKLIN,1742,"442 COUNTY RTE. 39, CHATEAUGAY, New York, 12920",44.9564654,-74.0466748
5,NYA00E095,MEDIUM,KOVAL BROTHERS DAIRY,313 BURKE ROAD,STILLWATER,12170,SARATOGA,1136,"313 BURKE ROAD, STILLWATER, New York, 12170",43.053216,-73.675198
5,NYA00E108,MEDIUM,BARBER BROTHERS DAIRY,967 ROUTE. 32 NORTH,SCHUYLERVILLE,12871,SARATOGA,1194,"967 ROUTE. 32 NORTH, SCHUYLERVILLE, New York, 12871",43.150931,-73.631841
5,NYA00E451,LARGE,EILDON TWEED FARM,1253 EASTERN AVENUE,WEST CHARLTON,12010,SARATOGA,2509,"1253 EASTERN AVENUE, WEST CHARLTON, New York, 12010",42.952008,-74.015618
5,NYA00E495,LARGE,SARATOGA RACETRACK,267 UNION AVENUE PO BOX 564,SARATOGA SPRINGS,12866,SARATOGA,0,"267 UNION AVENUE PO BOX 564, SARATOGA SPRINGS, New York, 12866",43.0739705,-73.7679799
5,NYA00E125,LARGE,SARATOGA HARNESS RACING,342 JEFFERSON STREET,SARATOGA SPRINGS,12866,SARATOGA,0,"342 JEFFERSON STREET, SARATOGA SPRINGS, New York, 12866",43.0618454,-73.774997
5,NYA00E104,MEDIUM,HANEHAN FAMILY DAIRY,340 COUNTY ROUTE 68,SARATOGA SPRINGS,12866,SARATOGA,1367,"340 COUNTY ROUTE 68, SARATOGA SPRINGS, New York, 12866",43.0831301,-73.7845651
5,NYA00E001,LARGE,TOMAS POULTRY FARM INC,411 STONEBRIDGE ROAD,SCHUYLERVILLE,12871,SARATOGA,505,"411 STONEBRIDGE ROAD, SCHUYLERVILLE, New York, 12871",43.1541893,-73.6107819
