"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","sample_end_dateTime","tz_cd"
"USGS","0143400680",2003-09-23,"13:15",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"A","9","9","A-2730054 1978 and 2331 in one FCC bottle","00666",NA,0.005,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD273B",20031001,NA,"USGSNWQL","EST","EST",2003-09-23 18:15:00,NA,"UTC"
"USGS","0143400680",2003-10-09,"08:00",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","7","9","A-2890077 1978 and 2331 in one FCC bottle","00666","<",0.004,NA,"CL020","R",0.004,"LRL",NA,NA,NA,"PELD294A",20031021,NA,"USGSNWQL","EST","EST",2003-10-09 13:00:00,NA,"UTC"
"USGS","0143400680",2003-10-21,"13:45",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-3010036 1978 and 2331 in one FCC bottle","00666","E",0.002,"n","CL020","R",0.004,"LRL",NA,NA,NA,"PELD304A",20031031,NA,"USGSNWQL","EST","EST",2003-10-21 18:45:00,NA,"UTC"
"USGS","0143400680",2003-11-04,"15:00",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-3140009 1978 and 2331 in one fcc bottleL-3140009 recvd 11-08-03","00666","E",0.003,"n","CL020","R",0.004,"LRL",NA,NA,NA,"PELD316A",20031113,NA,"USGSNWQL","EST","EST",2003-11-04 20:00:00,NA,"UTC"
"USGS","0143400680",2003-11-19,"06:55",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-3290144 1978 and 2331 in one FCC bottle","00666","E",0.002,"n","CL020","R",0.004,"LRL",NA,NA,NA,"PELD336A",20031202,NA,"USGSNWQL","EST","EST",2003-11-19 11:55:00,NA,"UTC"
"USGS","0143400680",2003-11-19,"20:00",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-3290145 1978 and 2331 in one FCC bottle","00666",NA,0.004,NA,"CL020","R",0.004,"LRL",NA,NA,NA,"PELD336A",20031202,NA,"USGSNWQL","EST","EST",2003-11-20 01:00:00,NA,"UTC"
"USGS","0143400680",2003-11-19,"22:15",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-3290141 1978 and 2331 in one FCC bottle","00666",NA,0.008,NA,"CL020","R",0.004,"LRL",NA,NA,NA,"PELD336A",20031202,NA,"USGSNWQL","EST","EST",2003-11-20 03:15:00,NA,"UTC"
"USGS","0143400680",2003-11-20,"11:45",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-3290124 1978 and 2331 in one FCC bottle","00666",NA,0.005,NA,"CL020","R",0.004,"LRL",NA,NA,NA,"PELD329B",20031126,NA,"USGSNWQL","EST","EST",2003-11-20 16:45:00,NA,"UTC"
"USGS","0143400680",2003-12-03,"14:45",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","7","9","A-3420070 1978 and 2331 in one fcc bottleL-3420070 recvd 12-06-03","00666","<",0.004,NA,"CL020","R",0.004,"LRL",NA,NA,NA,"PELD342A",20031209,NA,"USGSNWQL","EST","EST",2003-12-03 19:45:00,NA,"UTC"
"USGS","0143400680",2003-12-18,"15:15",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-3570174 1978 and 2331 in one fcc bottleL-3570174 x= late coolers,request refund from fed ex","00666","E",0.002,"n","CL020","R",0.004,"LRL",NA,NA,NA,"PELD364A",20031230,NA,"USGSNWQL","EST","EST",2003-12-18 20:15:00,NA,"UTC"
